# category	search_term	slug	name
health-beauty	conditioner	https://www.fairprice.com.sg/product/dove-conditioner-intense-repair-660ml-12529569	Dove Conditioner - Intense Repair
health-beauty	conditioner	https://www.fairprice.com.sg/product/sunsilk-hair-conditioner-smooth-manageable-625ml-13085452	Sunsilk Hair Conditioner - Smooth & Manageable
health-beauty	conditioner	https://www.fairprice.com.sg/product/pantene-conditioner-silky-smooth-care-680ml-13194421	Pantene Conditioner - Silky Smooth Care
health-beauty	conditioner	https://www.fairprice.com.sg/product/dove-hair-boost-nourishing-conditioner-anti-hairfall-660ml-13200346	Dove Hair Boost Nourishing Conditioner - Anti Hairfall
health-beauty	conditioner	https://www.fairprice.com.sg/product/pantene-conditioner-hair-fall-control-680ml-13194385	Pantene Conditioner - Hair Fall Control
health-beauty	conditioner	https://www.fairprice.com.sg/product/pantene-conditioner-daily-moisture-renewal-680ml-13194446	Pantene Conditioner - Daily Moisture Renewal
health-beauty	conditioner	https://www.fairprice.com.sg/product/da-dove-hya-krtin-shine-cond-630ml-13250347	Dove Hya Keratin Shine Conditioner
health-beauty	conditioner	https://www.fairprice.com.sg/product/sunsilk-hair-conditioner-soft-smooth-625ml-13085454	Sunsilk Hair Conditioner - Soft & Smooth
health-beauty	conditioner	https://www.fairprice.com.sg/product/pantene-conditioner-total-damage-care-680ml-13194449	Pantene Conditioner - Total Damage Care
health-beauty	conditioner	https://www.fairprice.com.sg/product/dove-hair-conditioner-fresh-nourishment-660ml-13216971	Dove Hair Conditioner - Fresh Nourishment
health-beauty	conditioner	https://www.fairprice.com.sg/product/dove-conditioner-straight-silky-700ml-12529534	Dove Conditioner - Straight & Silky
health-beauty	conditioner	https://www.fairprice.com.sg/product/dove-conditioner-detox-nourishment-660ml-13176299	Dove Conditioner - Detox Nourishment
health-beauty	conditioner	https://www.fairprice.com.sg/product/l-oreal-paris-conditioner-fall-resist-3x-450ml-13041769	L'Oreal Paris Conditioner - Fall Resist 3x
health-beauty	conditioner	https://www.fairprice.com.sg/product/sunsilk-conditioner-strong-long-13230355	Sunsilk Conditioner - Strong & Long
health-beauty	conditioner	https://www.fairprice.com.sg/product/tsubaki-prem-moist-repr-cond-450ml-13264749	Tsubaki Premium Moist & Repair Conditioner
health-beauty	conditioner	https://www.fairprice.com.sg/product/l-oreal-paris-conditioner-total-repair-5-repairing-450ml-13041771	L'Oreal Paris Conditioner - Total Repair 5 (Repairing)
health-beauty	conditioner	https://www.fairprice.com.sg/product/diane-perfect-beauty-extra-treatment-hair-fall-control-450ml-13201451	Diane Perfect Beauty Extra Treatment - Hair Fall Control
health-beauty	conditioner	https://www.fairprice.com.sg/product/dove-conditioner-hair-fall-rescue-660ml-13020182	Dove Conditioner - Hair Fall Rescue
